loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,grade,sub_grade,fico_score,dti,application_type,loan_status
5000.0,5000.0,36 months,10.65,162.87,10+ years,RENT,24000.0,Verified,credit_card,AZ,B,B2,737.0,27.65,Individual,Fully Paid
2500.0,2500.0,60 months,15.27,59.83,< 1 year,RENT,30000.0,Source Verified,car,GA,C,C4,742.0,1.0,Individual,Charged Off
2400.0,2400.0,36 months,15.96,84.33,10+ years,RENT,12252.0,Not Verified,small_business,IL,C,C5,737.0,8.72,Individual,Fully Paid
10000.0,10000.0,36 months,13.49,339.31,10+ years,RENT,49200.0,Source Verified,other,CA,C,C1,692.0,20.0,Individual,Fully Paid
3000.0,3000.0,60 months,12.69,67.79,1 year,RENT,80000.0,Source Verified,other,OR,B,B5,697.0,17.94,Individual,Fully Paid
5000.0,5000.0,36 months,7.9,156.46,3 years,RENT,36000.0,Source Verified,wedding,AZ,A,A4,732.0,11.2,Individual,Fully Paid
7000.0,7000.0,60 months,15.96,170.08,8 years,RENT,47004.0,Not Verified,debt_consolidation,NC,C,C5,692.0,23.51,Individual,Fully Paid
3000.0,3000.0,36 months,18.64,109.43,9 years,RENT,48000.0,Source Verified,car,CA,E,E1,662.0,5.35,Individual,Fully Paid
5600.0,5600.0,60 months,21.28,152.39,4 years,OWN,40000.0,Source Verified,small_business,CA,F,F2,677.0,5.55,Individual,Charged Off
5375.0,5375.0,60 months,12.69,121.45,< 1 year,RENT,15000.0,Verified,other,TX,B,B5,727.0,18.08,Individual,Charged Off
6500.0,6500.0,60 months,14.65,153.45,5 years,OWN,72000.0,Not Verified,debt_consolidation,AZ,C,C3,697.0,16.12,Individual,Fully Paid
12000.0,12000.0,36 months,12.69,402.54,10+ years,OWN,75000.0,Source Verified,debt_consolidation,CA,B,B5,677.0,10.78,Individual,Fully Paid
9000.0,9000.0,36 months,13.49,305.38,< 1 year,RENT,30000.0,Source Verified,debt_consolidation,VA,C,C1,712.0,10.08,Individual,Charged Off
3000.0,3000.0,36 months,9.91,96.68,3 years,RENT,15000.0,Source Verified,credit_card,IL,B,B1,707.0,12.56,Individual,Fully Paid
