"golden","state","num_trusted_judgment","birthplace","date_of_birth","race_ethnicity","religion","sexual_orientation","year_of_award","award","bio_url","movie","person"
"FALSE","finalized","3","Chisinau, Moldova","1895-09-30T00:00:00.000Z","White","Na","Straight","1927","Best Director","http://www.nndb.com/people/320/000043191/","Two Arabian Knights","Lewis Milestone"
"FALSE","finalized","3","Glasgow, Scotland","1886-02-02T00:00:00.000Z","White","Na","Straight","1930","Best Director","http://www.nndb.com/people/626/000042500/","The Divine Lady","Frank Lloyd"
"FALSE","finalized","3","Chisinau, Moldova","1895-09-30T00:00:00.000Z","White","Na","Straight","1931","Best Director","http://www.nndb.com/people/320/000043191/","All Quiet on the Western Front","Lewis Milestone"
"FALSE","finalized","3","Chicago, Il","1899-02-23T00:00:00.000Z","White","Na","Straight","1932","Best Director","http://www.nndb.com/people/544/000041421/","Skippy","Norman Taurog"
"FALSE","finalized","3","Salt Lake City, Ut","1894-04-23T00:00:00.000Z","White","Roman Catholic","Straight","1933","Best Director","http://www.nndb.com/people/292/000044160/","Bad Girl","Frank Borzage"
"FALSE","finalized","3","Glasgow, Scotland","1886-02-02T00:00:00.000Z","White","Na","Straight","1934","Best Director","http://www.nndb.com/people/626/000042500/","Cavalcade","Frank Lloyd"
"FALSE","finalized","3","Bisacquino, Sicily, Italy","1897-05-18T00:00:00.000Z","White","Roman Catholic","Straight","1935","Best Director","http://www.nndb.com/people/459/000032363/","It Happened One Night","Frank Capra"
"FALSE","finalized","3","Cape Elizabeth, Me","1894-02-01T00:00:00.000Z","White","Roman Catholic","Bisexual","1936","Best Director","http://www.nndb.com/people/458/000032362/","The Informer","John Ford"
"FALSE","finalized","3","Bisacquino, Sicily, Italy","1897-05-18T00:00:00.000Z","White","Roman Catholic","Straight","1937","Best Director","http://www.nndb.com/people/459/000032363/","Mr. Deeds Goes to Town","Frank Capra"
"FALSE","finalized","3","Los Angeles, Ca","1898-10-03T00:00:00.000Z","White","Na","Straight","1938","Best Director","http://www.nndb.com/people/380/000044248/","The Awful Truth","Leo McCarey"
"FALSE","finalized","3","Bisacquino, Sicily, Italy","1897-05-18T00:00:00.000Z","White","Roman Catholic","Straight","1939","Best Director","http://www.nndb.com/people/459/000032363/","You Can't Take It with You","Frank Capra"
"FALSE","finalized","3","Pasadena, Ca","1883-02-23T00:00:00.000Z","White","Na","Straight","1940","Best Director","http://www.nndb.com/people/416/000041293/","Gone with the Wind","Victor Fleming"
"FALSE","finalized","3","Cape Elizabeth, Me","1894-02-01T00:00:00.000Z","White","Roman Catholic","Bisexual","1941","Best Director","http://www.nndb.com/people/458/000032362/","The Grapes of Wrath","John Ford"
"FALSE","finalized","3","Cape Elizabeth, Me","1894-02-01T00:00:00.000Z","White","Roman Catholic","Bisexual","1942","Best Director","http://www.nndb.com/people/458/000032362/","How Green Was My Valley","John Ford"
"FALSE","finalized","3","Mulhouse, Haut-Rhin, Alsace, France","1902-07-01T00:00:00.000Z","White","Na","Straight","1943","Best Director","http://www.nndb.com/people/463/000032367/","Mrs. Miniver","William Wyler"
"FALSE","finalized","3","Budapest, Hungary","1886-12-24T00:00:00.000Z","White","Na","Straight","1944","Best Director","http://www.nndb.com/people/676/000032580/","Casablanca","Michael Curtiz"
"FALSE","finalized","3","Los Angeles, Ca","1898-10-03T00:00:00.000Z","White","Na","Straight","1945","Best Director","http://www.nndb.com/people/380/000044248/","Going My Way","Leo McCarey"
"FALSE","finalized","3","New York City","1918-10-11T00:00:00.000Z","White","Jewish","Gay","1962","Best Director","http://www.nndb.com/people/281/000064089/","West Side Story","Jerome Robbins"
"FALSE","finalized","3","Sucha, Galicia, Austria","1906-06-22T00:00:00.000Z","White","Jewish","Straight","1946","Best Director","http://www.nndb.com/people/982/000024910/","The Lost Weekend","Billy Wilder"
